0,Charlie,charlie@gmail.com,Joe,male,Supervisor,"less than 6 months"
1,Enzo,enzo@gmail.com,pig,female,"Other family members","More than 3 years"
2,Cliare,cli@gmail.com,opposition,female,"Adult at a place of worship","less than 6 months"
3,enzo,enzo@gmail.com,ROse,male,"Other family members","less than 6 months"
4,Jonathn,jojoj@gmail.com,Rose,male,Neighbor,"6 months to a year"
5,Scarlett,sca@gmail.com,Rose,female,"Other family members","6 months to a year"
6,pig,fkdm@gmail.com,widow,male,"Significant others/Romantic partner","More than 3 years"
7,pig,fkdm@gmail.com,sleigh,female,Supervisor,"6 months to a year"
8,Rachel,rachel@gmail.com,loo,male,"Significant others/Romantic partner","1 year to 3 years","Almost every day"
9,Enzo,enzo@gmail.com,Jonathan,male,Friend,"6 months to a year","A few times a year","Almost every day","At least once per week","A few times a year"
10,Evelyn,eve@gmail.com,Justin,male,Friend,"less than 6 months","A few times a year","A few times a year","Almost every day","Less than once per year","A small amount","Neither Agree Nor Disagree","Strongly Disagree",kasdlfjalwe
11,enzo,enzo@gmail.com,Charlie,male,"School adults","6 months to a year","At least once per week",Never,Never,"Less than once per year","A small amount","Strongly Disagree","Somewhat Agree",jkhiuhoih
